Khoury,Middle_eastern
Daher,Middle_eastern
Gerges,Middle_eastern
Nazari,Middle_eastern
Naifeh,Middle_eastern
Guirguis,Middle_eastern
Baba,Middle_eastern
Sabbagh,Middle_eastern
Attia,Middle_eastern
Tahan,Middle_eastern
Haddad,Middle_eastern
Aswad,Middle_eastern
Najjar,Middle_eastern
Maloof,Middle_eastern
Isa,Middle_eastern
Asghar,Middle_eastern
Nader,Middle_eastern
Gaber,Middle_eastern
Abboud,Middle_eastern
Maalouf,Middle_eastern
Zogby,Middle_eastern
Srour,Middle_eastern
Bahar,Middle_eastern
Mustafa,Middle_eastern
Hanania,Middle_eastern
Tuma,Middle_eastern
Nahas,Middle_eastern
Saliba,Middle_eastern
Shamoon,Middle_eastern
Amari,Middle_eastern
Bahar,Middle_eastern
Atiyeh,Middle_eastern
Said,Middle_eastern
Tahan,Middle_eastern
Baba,Middle_eastern
Mustafa,Middle_eastern
Sleiman,Middle_eastern
Seif,Middle_eastern
Dagher,Middle_eastern
Bahar,Middle_eastern
Harb,Middle_eastern
Seif,Middle_eastern
Asker,Middle_eastern
Nader,Middle_eastern
Hajjar,Middle_eastern
Hanania,Middle_eastern
Kalb,Middle_eastern
Shadid,Middle_eastern
Mustafa,Middle_eastern
Masih,Middle_eastern
Ghanem,Middle_eastern
Isa,Middle_eastern
Antoun,Middle_eastern
Sarraf,Middle_eastern
Dagher,Middle_eastern
Najjar,Middle_eastern
Malouf,Middle_eastern
Nahas,Middle_eastern
Naser,Middle_eastern
Shamon,Middle_eastern
Kalb,Middle_eastern
Daher,Middle_eastern
Wasem,Middle_eastern
Naifeh,Middle_eastern
Moghadam,Middle_eastern
Masih,Middle_eastern
Aswad,Middle_eastern
Assaf,Middle_eastern
Quraishi,Middle_eastern
Shalhoub,Middle_eastern
Gaber,Middle_eastern
Shammas,Middle_eastern
Tannous,Middle_eastern
Sleiman,Middle_eastern
Bazzi,Middle_eastern
Quraishi,Middle_eastern
Cham,Middle_eastern
Ghanem,Middle_eastern
Naser,Middle_eastern
Baba,Middle_eastern
Shamon,Middle_eastern
Almasi,Middle_eastern
Basara,Middle_eastern
Quraishi,Middle_eastern
Bata,Middle_eastern
Shamoun,Middle_eastern
Deeb,Middle_eastern
Touma,Middle_eastern
Asfour,Middle_eastern
Deeb,Middle_eastern
Hadad,Middle_eastern
Naifeh,Middle_eastern
Touma,Middle_eastern
Shamoun,Middle_eastern
Nahas,Middle_eastern
Haddad,Middle_eastern
Kouri,Middle_eastern
Deeb,Middle_eastern
Toma,Middle_eastern
Halabi,Middle_eastern
Saliba,Middle_eastern
Hadad,Middle_eastern
Baba,Middle_eastern
Mansour,Middle_eastern
Sayegh,Middle_eastern
Antar,Middle_eastern
Deeb,Middle_eastern
Shalhoub,Middle_eastern
Sarraf,Middle_eastern
Wasem,Middle_eastern
Ganim,Middle_eastern
Tuma,Middle_eastern
Fakhoury,Middle_eastern
Hadad,Middle_eastern
